StationID, CoordinateX, CoordinateY, 2020-2024, 2025-2029, 2030-2034, 2035-2039, 2040-2044
N0, -80.3774124901, 25.5312021479, 0, 0, 0, 0, 0
N1, -80.4750627341, 25.4533661063, 1, 1, 1, 1, 1
N2, -80.3855847294, 25.6474061053, 1, 1, 1, 1, 1
N3, -80.3184177085, 25.7236000883, 1, 1, 1, 1, 1
N4, -80.3858997088, 25.7764931092, 1, 1, 1, 1, 1
N5, -80.3210187079, 25.7808220804, 0, 0, 1, 1, 1
N6, -80.2039377253, 25.7888411075, 0, 1, 1, 1, 1
N7, -80.2130097264, 25.7489620851, 1, 1, 1, 1, 1
N8, -80.1854427466, 25.7871490916, 1, 1, 1, 1, 1
N9, -80.2063497377, 25.8124480918, 0, 0, 0, 0, 1
N10, -80.1359157181, 25.8128171097, 1, 1, 1, 1, 1
N11, -80.3243217461, 25.9003510724, 0, 0, 0, 0, 0
N12, -80.3854317394, 25.900477107, 0, 0, 0, 0, 0
N13, -80.207357714, 25.9268200817, 1, 1, 1, 1, 1
N14, -80.2157457177, 25.934893105, 1, 1, 1, 1, 1
N15, -80.351195729, 25.9485731019, 0, 0, 0, 1, 1
N16, -80.2296648173, 25.9734788295, 1, 1, 1, 1, 1
N17, -80.2298757272, 25.9785700921, 1, 1, 1, 1, 1
N18, -80.4328300663, 26.0123085292, 1, 1, 1, 1, 1
N19, -80.168432714, 26.0815481052, 0, 0, 0, 0, 0
N20, -80.1346377168, 26.0806300808, 1, 1, 1, 1, 1
N21, -80.2163847184, 26.0907460986, 1, 1, 1, 1, 1
N22, -80.345939733, 26.1222550749, 0, 0, 0, 1, 1
N23, -80.4421767203, 26.1459160976, 0, 0, 0, 0, 0
N24, -81.6124571055, 26.1540663908, 0, 0, 0, 0, 0
N25, -81.223664848, 26.1660309416, 0, 0, 0, 0, 0
N26, -80.8323829882, 26.166780406, 2, 4, 6, 10, 13
N27, -80.2946847328, 26.1940930872, 1, 1, 1, 1, 1
N28, -80.1506948493, 26.195999971, 1, 1, 1, 1, 1
N29, -80.2027196854, 26.2016572472, 0, 1, 1, 1, 1
N30, -80.2852463237, 26.3022779546, 0, 0, 0, 0, 0
N31, -80.1197067171, 26.3045680773, 0, 0, 0, 0, 0
N32, -80.1695397255, 26.3055400987, 0, 0, 0, 0, 0
N33, -80.0931927112, 26.3944241003, 0, 0, 0, 0, 0
N34, -80.5901452756, 26.4029897453, 2, 5, 8, 13, 17
N35, -81.7745550156, 26.4284117926, 2, 4, 6, 10, 13
N36, -80.1734719913, 26.5926807245, 1, 1, 1, 1, 1
N37, -80.0704330151, 26.6586473897, 1, 1, 1, 1, 1
N38, -80.7152997258, 26.6641000764, 0, 0, 0, 0, 0
N39, -81.0191424339, 26.7541247349, 0, 0, 0, 0, 0
N40, -81.8810067131, 26.7698680769, 3, 5, 10, 16, 21
N41, -80.1289408264, 26.8670768229, 1, 1, 1, 1, 1
N42, -81.2434503125, 26.9010836708, 5, 13, 27, 48, 65
N43, -80.140913597, 26.9056965103, 0, 1, 1, 1, 1
N44, -82.0417545546, 27.0092144196, 0, 0, 0, 0, 0
N45, -82.3053241133, 27.1058905674, 2, 5, 10, 15, 20
N46, -80.2687557305, 27.1097530872, 0, 0, 1, 1, 1
N47, -80.2801860022, 27.1250815863, 0, 0, 0, 1, 1
N48, -81.3286610062, 27.1791486911, 0, 0, 0, 0, 0
N49, -80.3996593613, 27.224310065, 0, 0, 0, 1, 1
N50, -80.3494627345, 27.2565848761, 1, 1, 1, 1, 1
N51, -82.4485195043, 27.3064402003, 1, 2, 2, 2, 2
N52, -80.3948478472, 27.395959554, 0, 0, 0, 1, 1
N53, -81.445586711, 27.4720300771, 0, 0, 0, 0, 0
N54, -80.4487176622, 27.5170741156, 0, 0, 0, 0, 1
N55, -80.6414471952, 27.5557973401, 1, 1, 1, 1, 1
N56, -82.5138687452, 27.5859610952, 0, 0, 0, 0, 5
N57, -82.6601065841, 27.6218237013, 1, 1, 1, 1, 1
N58, -80.5195317118, 27.6438850837, 1, 1, 1, 1, 1
N59, -80.8948047425, 27.6960761082, 0, 0, 0, 0, 0
N60, -81.5646811596, 27.7026102432, 0, 6, 12, 18, 23
N61, -82.3661364221, 27.7646433096, 2, 2, 3, 5, 5
N62, -82.6579137464, 27.7677070921, 0, 0, 0, 0, 0
N63, -82.6385997371, 27.76579009, 0, 0, 0, 0, 0
N64, -82.6592367454, 27.7764190748, 1, 1, 1, 1, 1
N65, -99.4266459005, 27.7768260621, 0, 0, 4, 6, 7
N66, -99.50309671, 27.5087860922, 0, 0, 0, 0, 0
N67, -82.6426767246, 27.7768240899, 1, 1, 1, 1, 1
N68, -97.5132859618, 27.817315493, 1, 1, 1, 1, 1
N69, -97.3979607076, 27.7997650758, 1, 1, 1, 1, 1
N70, -97.6261467237, 27.8614600727, 1, 1, 1, 1, 1
N71, -97.6228257288, 27.8637190942, 3, 6, 11, 17, 22
N72, -80.5983402263, 27.9099401725, 1, 1, 1, 1, 1
N73, -82.6106218705, 27.9196106751, 1, 1, 1, 1, 1
N74, -81.0605575145, 27.92362555, 1, 1, 1, 1, 1
N75, -81.6248144208, 27.9623001616, 3, 3, 6, 9, 11
N76, -82.4509587427, 27.9647891046, 0, 0, 0, 0, 0
N77, -82.3271817319, 28.0021300819, 3, 6, 11, 18, 23
N78, -82.0857445355, 28.0370238358, 0, 2, 3, 3, 4
N79, -99.3498267178, 28.0529170714, 2, 3, 3, 3, 3
N80, -82.4545947179, 28.078991486, 1, 1, 1, 1, 1
N81, -81.2807145974, 28.1081599623, 0, 0, 0, 0, 0
N82, -97.8235219593, 28.1199326212, 0, 2, 2, 2, 3
N83, -81.8760010605, 28.1462226231, 2, 3, 5, 7, 9
N84, -80.7058745565, 28.1574282333, 0, 0, 0, 0, 1
N85, -82.3947177292, 28.1708350836, 1, 1, 1, 1, 1
N86, -81.6501207461, 28.2324760843, 1, 1, 2, 2, 2
N87, -81.5520387097, 28.3256441027, 0, 0, 0, 0, 0
N88, -99.2716097558, 28.3549585606, 1, 2, 2, 2, 3
N89, -98.0459885183, 28.3665364506, 2, 5, 10, 15, 19
N90, -81.3898317083, 28.3710311048, 1, 1, 1, 1, 1
N91, -81.2440137377, 28.402333095, 1, 1, 1, 1, 1
N92, -82.3031666856, 28.4067160651, 2, 2, 4, 5, 6
N93, -80.820401728, 28.4118911068, 0, 0, 0, 0, 0
N94, -81.4742967435, 28.420999105, 0, 0, 2, 3, 5
N95, -81.4088397377, 28.433176073, 1, 1, 1, 1, 1
N96, -81.2296677417, 28.4517610883, 0, 0, 0, 0, 0
N97, -81.0166896616, 28.4522381337, 1, 1, 1, 1, 1
N98, -81.4489977424, 28.4788870964, 1, 1, 1, 1, 1
N99, -81.715053368, 28.4824311878, 2, 5, 10, 15, 20
N100, -81.5267487081, 28.5332831038, 1, 2, 2, 3, 3
N101, -81.3831357214, 28.5352631016, 4, 11, 22, 38, 50
N102, -81.2755767103, 28.5453700776, 1, 1, 1, 1, 1
N103, -81.2689167215, 28.5581500905, 0, 0, 0, 0, 0
N104, -81.7000171297, 28.5753086686, 1, 1, 1, 2, 2
N105, -82.1806289658, 28.622606355, 1, 1, 1, 2, 2
N106, -98.2374292733, 28.6337958215, 3, 6, 12, 19, 26
N107, -99.1799677394, 28.6523277705, 4, 10, 20, 32, 42
N108, -81.2311382528, 28.6648150271, 1, 1, 1, 1, 1
N109, -80.8709074014, 28.6692647125, 0, 1, 1, 1, 1
N110, -81.8535657247, 28.6751500783, 1, 1, 1, 2, 2
N111, -81.3884428717, 28.6754034191, 0, 0, 0, 0, 0
N112, -81.2812737194, 28.7686240766, 0, 0, 1, 1, 1
N113, -81.9662763933, 28.7775932294, 0, 0, 0, 0, 8
N114, -81.3379917449, 28.8112030922, 2, 5, 9, 14, 18
N115, -81.2732547345, 28.8117610982, 1, 1, 1, 1, 1
N116, -82.0915707349, 28.8592540904, 2, 4, 6, 10, 10
N117, -98.4247887368, 28.902769088, 4, 12, 23, 39, 50
N118, -80.9398926796, 28.9276750675, 0, 0, 0, 0, 0
N119, -99.0889295603, 28.9393643007, 3, 7, 14, 22, 29
N120, -81.2405333174, 29.0076071553, 0, 0, 0, 0, 0
N121, -82.1751748662, 29.0629394614, 3, 7, 13, 13, 13
N122, -98.4315660412, 29.1202310772, 0, 0, 0, 3, 4
N123, -98.8731003217, 29.1533972613, 0, 2, 3, 4, 4
N124, -81.0757137098, 29.1552730843, 3, 8, 15, 23, 30
N125, -82.1982785764, 29.2815173671, 0, 0, 0, 22, 29
N126, -98.6083077453, 29.3166071003, 2, 4, 7, 10, 13
N127, -98.4157167357, 29.3294501098, 0, 0, 0, 0, 0
N128, -81.1319894613, 29.3503394472, 0, 0, 0, 0, 0
N129, -98.4781947247, 29.3950781038, 0, 0, 0, 1, 2
N130, -98.5111797314, 29.3961940734, 0, 0, 3, 3, 3
N131, -98.7009897107, 29.3817670835, 0, 0, 0, 0, 0
N132, -98.6495277234, 29.3972650886, 0, 0, 0, 1, 1
N133, -98.5877697308, 29.4076960849, 0, 0, 0, 0, 0
N134, -95.0447051935, 29.4146105701, 0, 0, 0, 0, 1
N135, -94.8378207119, 29.2882480876, 1, 1, 1, 1, 1
N136, -98.5008207303, 29.4307091074, 1, 2, 2, 2, 2
N137, -98.6459637443, 29.4336520858, 0, 0, 0, 0, 0
N138, -98.3901117133, 29.4357670745, 3, 7, 13, 20, 25
N139, -98.4778977434, 29.4389530784, 1, 1, 1, 1, 1
N140, -98.4034857293, 29.4477280982, 0, 0, 0, 0, 0
N141, -98.4135927475, 29.4556120921, 1, 1, 1, 5, 6
N142, -98.2925427285, 29.4652330996, 2, 5, 5, 5, 5
N143, -98.4040347366, 29.4795160991, 1, 1, 1, 5, 7
N144, -98.7098277271, 29.4838090731, 0, 0, 0, 0, 0
N145, -82.2874827393, 29.484331081, 2, 3, 5, 5, 5
N146, -98.5492587454, 29.4995951014, 1, 1, 1, 1, 1
N147, -98.3978157187, 29.5101970876, 0, 0, 0, 0, 0
N148, -98.479742708, 29.5201240751, 1, 1, 1, 1, 1
N149, -98.3938197251, 29.5242910991, 1, 1, 1, 1, 1
N150, -81.209993713, 29.5406530901, 0, 0, 0, 0, 0
N151, -98.333204742, 29.5678420947, 1, 1, 1, 1, 1
N152, -98.3041977299, 29.5853380958, 0, 0, 0, 0, 0
N153, -98.5984527117, 29.5909270702, 2, 3, 3, 3, 3
N154, -97.9611050132, 29.5991390226, 0, 0, 9, 13, 17
N155, -95.3865957271, 29.5973710733, 1, 1, 1, 1, 1
N156, -95.2054167348, 29.606470072, 1, 1, 1, 1, 1
N157, -98.4684297268, 29.6089720786, 1, 2, 3, 4, 4
N158, -97.6070363308, 29.6502427686, 3, 7, 14, 23, 29
N159, -95.5577037406, 29.6613070935, 0, 0, 0, 1, 1
N160, -95.5598277289, 29.6746811095, 1, 1, 1, 1, 1
N161, -95.381609713, 29.6806031047, 0, 0, 0, 0, 0
N162, -97.2517539521, 29.6892672435, 1, 2, 2, 3, 3
N163, -96.8927498397, 29.6948560633, 3, 8, 16, 26, 34
N164, -96.534499522, 29.6944402851, 2, 5, 8, 13, 18
N165, -95.2889367471, 29.6972710757, 0, 0, 0, 0, 0
N166, -95.5578297321, 29.7045521084, 0, 0, 0, 1, 1
N167, -98.0900123397, 29.7074390626, 3, 5, 10, 11, 13
N168, -95.266625721, 29.7095560784, 0, 0, 0, 0, 0
N169, -95.153693722, 29.7121570787, 0, 0, 0, 0, 0
N170, -95.5579917215, 29.7183940947, 0, 0, 0, 0, 0
N171, -81.3364350868, 29.7232640999, 2, 3, 4, 6, 8
N172, -95.4603507415, 29.7288250919, 0, 0, 1, 1, 1
N173, -82.4732846148, 29.730198032, 1, 2, 2, 3, 3
N174, -95.3819067366, 29.7323350748, 0, 0, 0, 0, 0
N175, -95.370350728, 29.7345490996, 0, 0, 0, 0, 1
N176, -98.6875257427, 29.7388690713, 0, 0, 5, 7, 8
N177, -95.3626647216, 29.7443410952, 1, 1, 1, 1, 1
N178, -96.1824837086, 29.762125078, 2, 3, 5, 9, 9
N179, -95.3413257169, 29.7695770997, 1, 1, 1, 1, 1
N180, -95.3655537442, 29.7698920801, 1, 2, 2, 3, 3
N181, -95.1537927158, 29.771413107, 1, 2, 3, 3, 4
N182, -95.3688117434, 29.7755080944, 0, 0, 0, 0, 0
N183, -95.2639437268, 29.7755980887, 1, 1, 1, 1, 1
N184, -95.4537537484, 29.7805211062, 1, 1, 1, 1, 1
N185, -95.8746948311, 29.7772562434, 2, 2, 4, 4, 4
N186, -95.5637517273, 29.7843100705, 2, 4, 6, 9, 12
N187, -95.5624917249, 29.78431907, 0, 0, 0, 0, 0
N188, -95.4498567063, 29.7983770842, 0, 0, 0, 0, 0
N189, -95.3360517219, 29.8083761092, 1, 1, 1, 1, 1
N190, -95.3754987307, 29.8139740822, 0, 1, 1, 1, 1
N191, -94.7782358788, 29.8345529997, 2, 5, 8, 12, 16
N192, -94.393675588, 29.8281012292, 2, 4, 6, 9, 11
N193, -95.5554897159, 29.8733561038, 0, 0, 1, 1, 1
N194, -97.9188537213, 29.8860100821, 2, 4, 7, 11, 14
N195, -95.2029352643, 29.8908673726, 1, 1, 1, 1, 1
N196, -81.4227144134, 29.9325306662, 2, 5, 8, 13, 17
N197, -95.2958847177, 29.9400190726, 0, 1, 1, 1, 1
N198, -95.4139917179, 29.9407841079, 1, 2, 2, 3, 4
N199, -95.4141717478, 29.941297074, 1, 1, 1, 1, 1
N200, -98.8959447798, 29.9753238787, 0, 0, 0, 0, 0
N201, -90.0494877397, 29.9916250926, 1, 1, 1, 1, 1
N202, -90.1231707166, 29.9956300858, 0, 0, 2, 3, 3
N203, -82.6009766182, 30.0018900876, 2, 4, 7, 11, 14
N204, -90.2946747465, 30.0071680953, 0, 0, 0, 2, 2
N205, -90.399497725, 29.8943440887, 1, 1, 1, 1, 1
N206, -90.4319247257, 30.0857920887, 0, 2, 2, 2, 2
N207, -95.4352947246, 30.0910210862, 1, 2, 3, 4, 5
N208, -94.135187412, 30.0963330856, 3, 6, 12, 20, 25
N209, -97.8126828866, 30.1002772738, 1, 2, 2, 3, 4
