AL	0.0094	0.0524	0.1269	0.2254	0.2965
AK	0.0084	0.0436	0.1152	0.2248	0.3074
AZ	0.0142	0.0623	0.1548	0.2820	0.3723
AR	0.0103	0.0565	0.1399	0.2523	0.3323
CA	0.0195	0.0743	0.1715	0.3007	0.3912
CO	0.0148	0.0699	0.1695	0.3082	0.4067
CT	0.0139	0.0689	0.1628	0.2910	0.3829
DE	0.0116	0.0611	0.1487	0.2668	0.3512
DC	0.0085	0.0451	0.1080	0.1941	0.2577
FL	0.0123	0.0576	0.1395	0.2545	0.3390
GA	0.0142	0.0661	0.1557	0.2742	0.3581
HI	0.0142	0.0585	0.1596	0.3220	0.4422
ID	0.0117	0.0623	0.1462	0.2539	0.3293
IL	0.0130	0.0645	0.1497	0.2587	0.3352
IN	0.0117	0.0612	0.1474	0.2630	0.3453
IA	0.0100	0.0541	0.1341	0.2439	0.3238
KS	0.0084	0.0468	0.1170	0.2142	0.2851
KY	0.0087	0.0486	0.1200	0.2183	0.2900
LA	0.0109	0.0583	0.1386	0.2404	0.3115
ME	0.0139	0.0690	0.1624	0.2851	0.3723
MD	0.0111	0.0510	0.1218	0.2248	0.3029
MA	0.0113	0.0574	0.1383	0.2547	0.3414
MI	0.0128	0.0671	0.1575	0.2722	0.3514
MN	0.0108	0.0586	0.1370	0.2248	0.2836
MS	0.0101	0.0550	0.1387	0.2552	0.3399
MO	0.0104	0.0565	0.1391	0.2500	0.3298
MT	0.0102	0.0556	0.1329	0.2346	0.3067
NE	0.0086	0.0470	0.1183	0.2199	0.2954
NV	0.0122	0.0640	0.1581	0.2840	0.3727
NH	0.0138	0.0706	0.1603	0.2732	0.3523
NJ	0.0117	0.0543	0.1296	0.2351	0.3135
NM	0.0087	0.0474	0.1222	0.2321	0.3136
NY	0.0099	0.0528	0.1288	0.2365	0.3168
NC	0.0114	0.0593	0.1431	0.2559	0.3367
ND	0.0089	0.0484	0.1275	0.2435	0.3295
OH	0.0121	0.0628	0.1491	0.2631	0.3441
OK	0.0115	0.0616	0.1506	0.2672	0.3493
OR	0.0109	0.0548	0.1415	0.2666	0.3576
PA	0.0112	0.0585	0.1397	0.2491	0.3279
RI	0.0126	0.0619	0.1478	0.2664	0.3532
SC	0.0112	0.0585	0.1380	0.2408	0.3137
SD	0.0079	0.0437	0.1146	0.2199	0.2984
TN	0.0108	0.0566	0.1404	0.2563	0.3403
TX	0.0118	0.0622	0.1506	0.2670	0.3491
UT	0.0137	0.0677	0.1629	0.2859	0.3711
VT	0.0119	0.0617	0.1445	0.2553	0.3348
VA	0.0115	0.0555	0.1357	0.2490	0.3328
WA	0.0128	0.0638	0.1541	0.2755	0.3618
WV	0.0111	0.0593	0.1406	0.2460	0.3206
WI	0.0119	0.0616	0.1499	0.2692	0.3545
WY	0.0087	0.0476	0.1237	0.2352	0.3173
